f9-privacy-mirror | What neighbors see (user-scoped, with 'Your posts') | EXTEND_EXISTING | loop | Make the coordinate-leak fix legible and checkable, to the people most likely to be posting from a bookmarked address.
f3b-locked-action-row | Address verification needed (the locked-action treatment) | NEW_CARD_IN_EXISTING | loop | Tell a household-verified member why an attested action is unavailable instead of hiding it or 403-ing after the tap.
f3-household-block | Who lives here with you (household block) | NEW_CARD_IN_EXISTING | loop | Ask a new resident, once, who else lives at this address, and make inviting them a two-tap job on the screen they actually see.
f3-member-home-dashboard | Home dashboard, member read-only view | EXTEND_EXISTING | loop | Give an invited co-resident a dashboard that is useful and readable without manage permissions — which the permissions migration creates on day one.
f3-household-calendar | Household calendar (give the built screen an entry point) | EXTEND_EXISTING | loop | Deliver F3's promise that a co-resident can read and edit the household calendar, and make the T3 toast ('Saved to your household calendar') true.
f3-bill-detail-web | Bill detail (new web route) | NEW_SCREEN | loop | Give every bill push, notification and calendar row an exact surface to land on, as design rule 4 requires.
f3-bills-list | Bills list (member read-only + payer attribution) | EXTEND_EXISTING | loop | Let a co-resident see the household's bills and see who paid what, so two people do not pay the same bill.
f3-household-notifications | Household activity notifications (rows, channel, routing) | EXTEND_EXISTING | loop | Make 'Sam marked the water bill paid' arrive, read clearly, and land on the thing it describes — and do the same for date and bill reminders.
f8-scale-strips | The four-layer reading instrument (scale strips) | NEW_CARD_IN_EXISTING | loop | Make four readings from four different authorities comparable without inventing a grade or judging a home.
f8-compare-sheet | Compare with a friend (mint + consent) | NEW_SHEET_OR_MODAL | loop | Mint and send a compare link in one tap, showing — before the link exists — exactly what the card will and will not reveal.
f8-compare-arrival-header | Compare arrival header on /start | NEW_CARD_IN_EXISTING | loop | Show a stranger what their friend's place reads, and put their own address field in the still-empty second column so the only obvious next move is to 
f8-compare-reveal | Compare reveal (a third funnel step) | NEW_SCREEN | loop | The payoff moment — their place next to the sender's, layer by layer — before dropping them into their own full preview.
f8-og-compare-card | Compare share card (OG image) | EXTEND_EXISTING | loop | Be the thing a stranger actually sees first — the unfurled card in a chat — and make 'Yours?' the obvious question.
f8-native-share-compare | Share + compare actions on the native T0 preview | EXTEND_EXISTING | loop | Give the native funnels the same one-tap spread as web without building a native compare screen in v1.
f8-seasonal-aha | Rotating seasonal aha card | EXTEND_EXISTING | loop | Make the single headline on the anonymous preview be the fact that is actually urgent this month at this address.
f8-positioning-copy | Positioning line + contrast line | COPY_ONLY | loop | Say in one sentence what Pantopus is and, under it, what it is not, so a stranger from a friend's card knows in two lines why this is not another neig
f7-today-widget | Today at your address (home-screen widget, three sizes) | NEW_WIDGET | loop | Give the address a reason to be on the home screen: what's due, what the air is, what's next — with no push and no permission.
f7-widget-tap-landing | Widget tap landing (attribution + forced refresh) | EXTEND_EXISTING | loop | Make the tap honest: open the exact surface the widget summarises, refresh it so the snapshot is rewritten, and record that this open came from the wi
f7-widget-gallery | Widget gallery entry (name, description, preview) | NEW_WIDGET | loop | The only place a person browsing their phone's widget gallery learns this exists — the whole top of the widget funnel.
f7-widget-howto-sheet | Add the widget (how-to, with a live preview) | NEW_SHEET_OR_MODAL | loop | No public API can place a widget for the user, so the only way this converts is by showing the reward first and then teaching three OS gestures.
f9-nearby-cells-map | Cells map detail (3-referral unlock, de-curated counts) | EXTEND_EXISTING | pilot | Make the 3-referral tier a real destination with an honest locked state, and stop curator rows counting as organic activity.
f9-block-founders-panel | Block Founders (rank vs tier, slot meter, postcard allowance) | EXTEND_EXISTING | pilot | One name per thing, and make the earned weekly postcard allowance visible before it is spent.
f9-invite-rewards-card | Invite rewards (what a referral actually pays) | NEW_CARD_IN_EXISTING | pilot | State honestly what a referral pays — 1 → an extra postcard invite this week, 3 → cells-map detail, 10 → Founding Neighbor badge — and put it where th
f10-mail-day-triage | Mail Day triage (snap-aware) | NEW_SCREEN | phase2 | The one place a stack of paper mail becomes a list of decisions.
f10-snap-capture-tray | Snap capture tray (batch session) | NEW_SHEET_OR_MODAL | phase2 | Turn a physical stack into a batch of uploads in one session without leaving the screen between pieces.
f10-extraction-confirm | Confirm what we read (extraction review) | NEW_SCREEN | phase2 | Make the machine's guess into the user's confirmed fact before anything reaches bills, the calendar or a reminder.
f10-mail-piece-photo | Photographed mail piece (the record, and the photo viewer) | EXTEND_EXISTING | phase2 | Answer 'where did the thing I photographed go?' after triage ends — and be the one place the image can be looked at and permanently deleted.
f10-bill-provenance | Bill provenance block (from a photo you took) | NEW_CARD_IN_EXISTING | phase2 | Show a bill's origin honestly — a machine read a photograph and a human confirmed it — and give one place to correct, view or delete both together.
f10-bill-trend | Bill trend vs the going rate | NEW_CARD_IN_EXISTING | phase2 | Give the monthly-return step of the loop an actual payoff: is this bill normal for around here?
f10-mail-snap-privacy | Mail snaps: privacy and storage | NEW_CARD_IN_EXISTING | phase2 | One place to understand where photographs of your mail live, and to delete all of them.
f11-keeper-strip | Keeper strip on Today | NEW_CARD_IN_EXISTING | phase2 | Give the return surface a face: who is looking after this address, what is due, and how much the place file knows.
f11-keeper-naming | Give your place a keeper (naming) | NEW_SHEET_OR_MODAL | phase2 | A one-time, low-stakes act of naming that converts a data screen into something the person owns — and that is genuinely skippable and reversible.
